sample,sensor_to_orchestrator_ms,orchestrator_to_valve_ms,irrigation_total_ms,robot_command_to_cmd_vel_ms
516,3.6952,4.071991,7.767191,8.688515
517,11.093511,6.075416,17.168927,10.89221
518,5.842227,9.631109,15.473336,18.711692
519,0.773496,3.665071,4.438567,6.13867
520,3.289378,7.680172,10.96955,12.660876
521,7.772803,21.648199,29.421002,8.53092
522,2.462901,7.593279,10.05618,6.830093
523,2.879643,8.167324,11.046967,14.396903
524,3.179858,17.662163,20.842021,5.747398
525,1.150892,22.837383,23.988275,21.788069
526,9.89323,20.664238,30.557468,15.052798
527,2.832902,4.953152,7.786054,4.662685
528,1.073092,6.828908,7.902,7.263439
529,4.977208,3.087371,8.064579,3.612996
530,0.930407,4.842612,5.773019,10.244502
531,3.422576,9.046192,12.468768,9.4481
532,1.238029,8.879342,10.117371,6.547452
533,14.49831,8.243024,22.741334,9.438064
534,16.879633,4.694239,21.573872,8.548759
535,2.030749,28.829182,30.859931,33.045498
536,1.432804,4.205481,5.638285,7.6417
537,3.236906,6.168319,9.405225,6.443676
538,2.469633,5.138999,7.608632,3.991017
539,3.602467,9.304789,12.907256,8.552233
540,0.999093,8.613282,9.612375,8.640214
541,8.608651,4.950894,13.559545,6.003621
542,3.085468,3.16446,6.249928,7.979935
543,4.146411,5.569092,9.715503,5.005816
544,1.185166,5.090646,6.275812,7.523326
545,1.706162,29.955092,31.661254,13.619971
546,2.119536,11.588656,13.708192,14.029714
547,1.277355,8.10176,9.379115,10.667883
548,5.832102,10.103683,15.935785,8.411338
549,4.049956,19.005523,23.055479,19.895776
550,0.753414,5.031599,5.785013,9.606395
551,2.495174,4.033639,6.528813,12.078391
552,0.843729,4.749474,5.593203,6.010818
553,1.802993,8.971578,10.774571,5.208525
554,0.955237,4.361393,5.31663,6.301509
555,6.701034,6.133622,12.834656,8.645787
556,3.626714,3.041169,6.667883,6.879344
557,6.193381,8.210292,14.403673,8.756928
558,1.515588,6.756245,8.271833,5.402173
559,7.503709,13.183246,20.686955,10.350592
560,2.776568,5.745452,8.52202,11.005016
561,5.123894,3.129851,8.253745,3.372934
562,1.46119,3.350382,4.811572,8.851613
563,0.91357,2.925294,3.838864,4.903862
564,7.37337,6.276483,13.649853,11.768465
565,1.194394,9.653097,10.847491,9.796228
566,5.896759,8.446336,14.343095,6.466145
567,8.842628,9.483601,18.326229,9.706606
568,1.713965,7.653086,9.367051,7.396277
569,4.714559,7.685553,12.400112,6.305237
570,2.063748,4.267152,6.3309,6.210244
571,3.543127,2.40086,5.943987,4.998615
572,2.626963,8.270844,10.897807,13.001194
573,2.0984,6.975193,9.073593,7.204831
574,1.64584,6.12423,7.77007,4.738855
575,7.642687,4.419785,12.062472,8.739021
576,3.97335,8.484191,12.457541,7.528738
577,1.494636,3.722634,5.21727,11.548602
578,6.248326,3.815219,10.063545,8.100435
579,3.921241,4.745003,8.666244,6.295679
580,1.150108,10.573064,11.723172,7.693238
581,1.733149,7.069401,8.80255,7.532638
582,1.154246,3.452014,4.60626,3.591354
583,0.720251,3.627334,4.347585,3.962709
584,1.373486,2.148048,3.521534,3.984961
585,7.079427,6.404965,13.484392,6.345354
586,1.64889,6.220893,7.869783,10.883564
587,5.055519,3.722843,8.778362,24.421908
588,1.333935,8.015539,9.349474,12.440356
589,3.894696,5.054916,8.949612,20.403231
590,3.629801,2.656064,6.285865,4.657549
591,1.943311,3.843902,5.787213,5.704589
592,1.226973,5.325137,6.55211,23.932392
593,2.746513,6.088775,8.835288,11.01851
594,1.136989,5.207944,6.344933,5.770482
595,1.601498,6.060801,7.662299,10.392602
596,1.206105,9.564244,10.770349,12.727513
597,3.131503,6.001488,9.132991,6.502799
598,2.285942,4.580764,6.866706,7.488234
599,1.811543,5.164634,6.976177,5.779414
600,1.009587,2.897395,3.906982,3.910252
601,0.829011,4.399279,5.22829,5.108223
602,2.918242,9.953042,12.871284,11.978815
603,3.710616,9.231725,12.942341,13.174242
604,0.941576,4.543854,5.48543,6.235449
